Stock,Date,Industry,Open,Close,High,Low,Volume,Adjust Close Price,Daily Value Traded,Beta,RSI,EPS,Total Revenue Quarter,Dividend per share Quarter
AAPL,9/23/2025,Tech,255.875,254.43,257.34,253.58,60.27519,254.43,15335.81583,4.29015,72.28075,6.10905,94036,0.26
AAPL,9/22/2025,Tech,248.3,256.08,256.64,248.12,105.51742,256.08,27020.89989,-52.3559,74.95616,6.10905,94036,0.26
AAPL,9/21/2025,Tech,0,0,0,0,0,245.5,0,1.82821,67.87659,6.10905,94036,0.26
AAPL,9/20/2025,Tech,0,0,0,0,0,245.5,0,1.52147,67.87659,6.10905,94036,0.26
AAPL,9/19/2025,Tech,241.225,245.5,246.3,240.2106,163.74131,245.5,40198.49259,1.52147,67.87659,6.10905,94036,0.26
AAPL,9/18/2025,Tech,239.97,237.88,241.2,236.65,44.24958,237.88,10526.08914,-1.61429,60.38763,6.10905,94036,0.26
AAPL,9/17/2025,Tech,238.97,238.99,240.1,237.7301,46.50802,238.99,11114.95098,1.07766,62.35392,6.10905,94036,0.26
AAPL,9/16/2025,Tech,237.175,238.15,241.22,236.3235,63.4211,238.15,15103.73473,0.1101,61.47238,6.10905,94036,0.26
AAPL,9/15/2025,Tech,237,236.7,238.19,235.03,42.69952,236.7,10106.97733,-0.41674,59.96988,6.10905,94036,0.26
AAPL,9/14/2025,Tech,0,0,0,0,0,234.07,0,0.43942,57.1558,6.10905,94036,0.26
AAPL,9/13/2025,Tech,0,0,0,0,0,234.07,0,0.69003,57.1558,6.10905,94036,0.26
AAPL,9/12/2025,Tech,229.22,234.07,234.51,229.02,55.82422,234.07,13066.77424,0.69003,57.1558,6.10905,94036,0.26
AAPL,9/11/2025,Tech,226.875,230.03,230.45,226.65,50.20858,230.03,11549.4792,6.56202,52.3808,6.10905,94036,0.26
AAPL,9/10/2025,Tech,232.185,226.79,232.42,225.95,83.44081,226.79,18923.5413,-26.03454,48.07086,6.10905,94036,0.26
AAPL,9/9/2025,Tech,237,234.35,238.7805,233.36,66.31392,234.35,15540.66668,-2.03062,59.79718,6.10905,94036,0.26
AAPL,9/8/2025,Tech,239.3,237.88,240.15,236.34,48.9995,237.88,11655.99987,0.55754,66.86976,6.10905,94036,0.26
AAPL,9/7/2025,Tech,0,0,0,0,0,239.69,0,1.32294,70.86018,6.10905,94036,0.26
AAPL,9/6/2025,Tech,0,0,0,0,0,239.69,0,1.32294,70.86018,6.10905,94036,0.26
AAPL,9/5/2025,Tech,239.995,239.69,241.32,238.4901,54.8704,239.69,13151.88546,1.32294,70.86018,6.10905,94036,0.26
AAPL,9/4/2025,Tech,238.45,239.78,239.8999,236.74,47.54943,239.78,11401.40209,-10.03983,71.05596,6.10905,94036,0.26
AAPL,9/3/2025,Tech,237.21,238.47,238.85,234.36,66.42784,238.47,15841.04581,4.0353,69.93318,6.10905,94036,0.26
AAPL,9/2/2025,Tech,229.25,229.72,230.85,226.97,44.07564,229.72,10125.05556,16.42129,60.40727,6.10905,94036,0.26
AAPL,9/1/2025,Tech,0,0,0,0,0,232.14,0,1.12906,65.75769,6.10905,94036,0.26
AAPL,8/31/2025,Tech,0,0,0,0,0,232.14,0,0.988,65.75769,6.10905,94036,0.26
